	number	city	City	region	population	description	first_letter	last_letter
791	792	пущино	Пущино	Московская область	19578	"Пу́щино — город (с 1966 года) в Московской области, Россия; один из научных центров Российской академии наук. Расположен на правом высоком берегу реки Оки при впадении в неё речки Любожихи, к югу от Москвы в 80 км от МКАД и в 13 км к юго-востоку от Серпухова. Население — 19 578[1] чел. (2021).
"	п	о
792	793	пыталово	Пыталово	Псковская область	5263	"Пыта́лово[2] (в 1925—1937 годах — Я́унлатгале, латыш. Jaunlatgale; в 1938—1945 годах — А́брене, латыш. Abrene) — город (с 1933 года[4]) в России, административный центр Пыталовского района Псковской области. Составляет муниципальное образование Пыталово в статусе городского поселения (в границах города)[5].
"	п	о
793	794	пыть-ях	Пыть-Ях	Ханты-Мансийский АО	40180	"Пыть-Ях — город в России, в Ханты-Мансийском автономном округе — Югре. Население — 40 180[1] чел. (2021).
"	п	х
794	795	пятигорск	Пятигорск	Ставропольский край	146473	"Пятиго́рск — город-курорт в Ставропольском крае Российской Федерации. Административный центр городского округа город-курорт Пятигорск. Крупнейший по численности населения город Кавказских Минеральных Вод и второй в крае после Ставрополя.
"	п	к
795	796	радужный	Радужный	Владимирская область	17569	"Ра́дужный — город во Владимирской области в России. Закрытое административно-территориальное образование, в границах которого в соответствии с Законом от 19 июля 2004 года № 71-ОЗ было образовано одноимённое муниципальное образование (городской округ) ЗАТО город Радужный[2][3][4][5][6].
"	р	н
796	797	радужный	Радужный	Ханты-Мансийский АО	43577	"
Ра́дужный — город в России, в Ханты-Мансийском автономном округе — Югре.
"	р	н
797	798	райчихинск	Райчихинск	Амурская область	15797	"Райчи́хинск — город (с 4 мая 1944) в России, в Амурской области, в 165 км к юго-востоку от Благовещенска.
"	р	к
798	799	раменское	Раменское	Московская область	114537	"Ра́менское — город в России, административный центр Раменского городского округа Московской области; крупнейший населённый пункт городского поселения Раменское.
Население — 114 537[2] чел. (2021).
"	р	е
799	800	рассказово	Рассказово	Тамбовская область	47644	"Расска́зово — город (с 1926[1]) в Тамбовской области России. Административный центр Рассказовского района, в который не входит, являясь административно-территориальной единицей городом областного значения, образующим одноимённое муниципальное образование городской округ город Рассказово[2].
"	р	о
800	801	ревда	Ревда	Свердловская область	60200	"Ревда́ — город областного значения в Свердловской области России, административный центр городского округа Ревда.
"	р	а
801	802	реж	Реж	Свердловская область	36585	"Реж — город в Свердловской области Российской Федерации. Административный центр Режевского городского округа. С точки зрения административно-территориального деления является административным центром Режевского района.
"	р	ж
802	803	реутов	Реутов	Московская область	113871	"Ре́утов (произношение (инф.))[5][6][7] — город (с 1940 г.) в Московской области Российской Федерации, наукоград. Город областного подчинения[8], образует одноимённый городской округ[9] как единственный населённый пункт в его составе.
"	р	в
803	804	ржев	Ржев	Тверская область	55757	"Ржев (ранее: Рже́ва Володи́мирова, Рже́вка, Ржов) — город в России, административный центр Ржевского района Тверской области (в состав района не входит).
"	р	в
804	805	родники	Родники	Ивановская область	24101	"Родники́ — город (с 1918[2]) в России, административный центр Родниковского района Ивановской области, образует Родниковское городское поселение.
"	р	и
805	806	рославль	Рославль	Смоленская область	45416	"Ро́славль — город в Смоленской области Российской Федерации. Административный центр Рославльского района. Образует Рославльское городское поселение.
"	р	л
806	807	россошь	Россошь	Воронежская область	60879	"Ро́ссошь — город (с 1923[2]) в Воронежской области Российской Федерации. Административный центр Россошанского района. Образует муниципальное образование городское поселение город Россошь как единственный населённый пункт в его составе[3][4]. Населенный пункт воинской доблести[5]. Железнодорожная станция Россошь (1871).
"	р	ш
807	808	ростов-на-дону	Ростов-на-Дону	Ростовская область	1142162	"Зинаида Неярохина
"	р	у
808	809	ростов	Ростов	Ярославская область	28122	"Росто́в (разг. Ростов Великий) — город (с 862 г.[4]) в России, административный центр Ростовского района Ярославской области.
Расположен в 186 км к северо-востоку от Москвы, в 47 км к юго-западу от Ярославля, на берегу озера Неро. Площадь города составляет 32,0 км²[1], население — 28 122[2] человек (2021 год).
"	р	в
809	810	рошаль	Рошаль	Московская область	21401	"Роша́ль — город в Московской области России, расположен на реке Воймеге в 145 км к востоку от Москвы.
Население — 21 401[1] чел. (2021).
"	р	л
810	811	ртищево	Ртищево	Саратовская область	37850	"Рти́щево[3] — город (с 1925) в России, административный центр Ртищевского района Саратовской области. Образует одноимённое муниципальное образование город Ртищево со статусом городского поселения как единственный населённый пункт в его составе[4].
"	р	о
811	812	рубцовск	Рубцовск	Алтайский край	126834	"Рубцо́вск — город на юге Алтайского края. Административный центр Рубцовского района, в состав которого не входит. Образует городской округ город Рубцовск как единственный населённый пункт в его составе. С середины двадцатого века является крупным машиностроительным центром Западной Сибири.
"	р	к
812	813	рудня	Рудня	Смоленская область	8908	"Ру́дня — город (с 1926 года[2]) в  Смоленской области России. Административный центр Руднянского района. Образует муниципальное образование Руднянское городское поселение как единственный населённый пункт в его составе[3].
"	р	я
813	814	руза	Руза	Московская область	16014	"Ру́за — город в Московской области России, административный центр Рузского городского округа[2]. Население — 13 000 чел. (2021). 
"	р	а
814	815	рузаевка	Рузаевка	Мордовия	42989	"Руза́евка (мокш. Орозай, эрз. Оразай ош) — город (с 1937 года) в Республике Мордовия Российской Федерации. Административный центр Рузаевского района, образует одноимённое муниципальное образование в статусе городского поселения Рузаевка как единственный населённый пункт в его составе[3].
"	р	а
815	816	рыбинск	Рыбинск	Ярославская область	177295	"Ры́бинск — второй по величине город в Ярославской области России. Город расположен в 82 км от Ярославля. Административный центр Рыбинского района, в который не входит, обладает статусом города областного значения[3] и образует городской округ — город Рыбинск как единственный населённый пункт в его составе[4][5]. Расположен у слияния рек Волги, Шексны и Черёмухи. Городу присвоено почётное звание Российской Федерации «Город трудовой доблести»[6].
"	р	к
816	817	рыбное	Рыбное	Рязанская область	21069	"Ры́бное — город в России, административный центр Рыбновского района Рязанской области. Город-спутник Рязани.
"	р	е
817	818	рыльск	Рыльск	Курская область	15069	"Рыльск — город в Курской области России, административный центр Рыльского района.
"	р	к
818	819	ряжск	Ряжск	Рязанская область	20634	"Ряжск — город (с 1502[2]) в Рязанской области, административный центр Ряжского района.
"	р	к
819	820	рязань	Рязань	Рязанская область	528599	"Ряза́нь (до 1778 года — Переясла́вль-Ряза́нский) — город в России, административный центр Рязанской области и Рязанского муниципального района[5]. С XIII по XVI век был столицей Великого княжества Рязанского[6]. Входит в тридцатку крупнейших городов России[7].
"	р	н
820	821	саки	Саки	Крым	24285	"Са́ки (укр. Саки, крымскотат. Saq, Сакъ) — город в Крыму. Является центром Сакского района Крыма, однако в состав района не входит, образуя городской округ Саки[2] (Сакский городской совет[3]) как единственный населённый пункт в его составе. Бальнеогрязевой курорт.
"	с	и
821	822	салават	Салават	Башкортостан	148575	"Председатель совета Давыдова Лариса Владимировна
"	с	т
822	823	салаир	Салаир	Кемеровская область	7088	"Салаи́р — город в составе Гурьевского муниципального района Кемеровской области в России, до 2019 года административный центр Салаирского городского поселения Гурьевского муниципального района.
"	с	р
823	824	салехард	Салехард	Ямало-Ненецкий АО	47910	"Салеха́рд[2] (от нен. Саля' хард «поселение на мысу», хант. Пуӆңават, до 1933 года — Обдорск) — город в России, административный центр Ямало-Ненецкого автономного округа.
"	с	д
824	825	сальск	Сальск	Ростовская область	57937	"Сальск (с 1899 по 1924 год — станция Торговая, с 1924 по 1926 год — посёлок Торговый) — город в России, административный центр Сальского района Ростовской области, образует муниципальное образование Сальское городское поселение как единственный населённый пункт в его составе.
"	с	к
825	826	самара	Самара	Самарская область	1173299	"Сама́ра (с 27 января 1935 года по 25 января 1991 года — Куйбышев) — город в Среднем Поволжье России, центр Поволжского экономического района и Самарской области, образует городской округ Самара[5]. Город трудовой и боевой славы[6] (2016). Город трудовой доблести[7] (2020).
"	с	а
826	827	санкт-петербург	Санкт-Петербург	Санкт-Петербург	5601911	"Санкт-Петербу́рг (с 18 [31] августа 1914 года до 26 января 1924 года[8] — Петрогра́д, с 26 января 1924 года до 6 сентября 1991 года[3] — Ленингра́д, разг. — Пи́тер, Петербу́рг, сокр. — СПб) — второй по численности населения город России[9]. Город федерального значения. Административный центр Северо-Западного федерального округа. Основан 16 (27) мая 1703 года царём Петром I. В 1714—1728 и 1732—1918 годах — столица Российского государства[a][10].
"	с	г
827	828	саранск	Саранск	Мордовия	314871	"Сара́нск (мокш. Саранск ошсь, Саранскяйсь, эрз. Саран ош) — город в России, столица Республики Мордовия. Вместе с прилегающими сельскими населёнными пунктами образует муниципальное образование со статусом городского округа. Основан в 1641 году.
"	с	к
828	829	сарапул	Сарапул	Удмуртия	91115	"Сара́пул, Сара́пуль[2] (удм. Сарапулкар) — город в Удмуртской Республике России. В 1738 году был приписан к Осинской провинции Уфимской губернии. С 1780 года в статусе уездного города входил в состав Вятской губернии. Уездный город Пермской губернии (1921-23). В 1937 году присоединён к Удмуртской АССР.
"	с	л
829	830	саратов	Саратов	Саратовская область	901361	"Сара́тов — город на юго-востоке европейской части России, административный центр Саратовской области. Является городом областного значения. Вместе с пригородным Гагаринским районом составляет муниципальное образование город Саратов со статусом городского округа[4][5]. Крупный культурный, экономический и образовательный центр Поволжья. Входит в двадцатку крупнейших городов России, не будучи городом-миллионером, одновременно является центром Саратовской агломерации, население которой превышает 1,2 миллиона человек.
"	с	в
830	831	саров	Саров	Нижегородская область	93357	"Сафонов Алексей Александрович 
"	с	в
831	832	сасово	Сасово	Рязанская область	21628	"Са́сово — город (с 1926[2]) в Рязанской области, административный центр Сасовского района, в состав которого не входит, являясь городом областного значения. Образует муниципальное образование городской округ город Сасово Рязанской области[3].
"	с	о
832	833	сатка	Сатка	Челябинская область	42597	"Са́тка — город в Саткинском районе Челябинской области России. Административный центр Саткинского района и Саткинского городского поселения. Население составляет 42 597[1] чел. (2021).
"	с	а
833	834	сафоново	Сафоново	Смоленская область	38403	"Сафо́ново — город в России, административный центр Сафоновского района Смоленской области.
"	с	о
834	835	саяногорск	Саяногорск	Хакасия	44872	"Саяного́рск (до 1975 года — село Означенное), (хак. Наа Сойан Тура[2]) — город в России, в Республике Хакасии. Административный центр городского округа город Саяногорск. По площади и населению занимает третье место в регионе.
"	с	к
835	836	саянск	Саянск	Иркутская область	35561	"Сая́нск — город (с 1985) в Иркутской области России.
"	с	к
836	837	светлогорск	Светлогорск	Калининградская область	16207	"Светлого́рск (до 1947 года — Ра́ушен, нем. Rauschen, лит. Raušiai) — город в Калининградской области России. Административный центр Светлогорского городского округа. Курорт.
"	с	к
837	838	светлоград	Светлоград	Ставропольский край	35703	"Светлогра́д — город в Ставропольском крае[4]. Административный центр Петровского городского округа.
"	с	д
838	839	светлый	Светлый	Калининградская область	21114	"Све́тлый (до 1947 года — Циммербуде, нем. Zimmerbude, лит. Cimerbūdė) — город в Калининградской области Российской Федерации.
"	с	л
839	840	светогорск	Светогорск	Ленинградская область	13784	"Светого́рск, до 1949 года Энсо (фин. Enso[1]) — город в Выборгском районе Ленинградской области, административный центр Светогорского городского поселения.
"	с	к
840	841	свирск	Свирск	Иркутская область	15485	"Свирск — город (с 1949) в Иркутской области России. Образует Свирское муниципальное образование[2] (город Свирск)[3] со статусом городского округа  как единственный населённый пункт в его составе. Граничит с Черемховским и Усольским районами Иркутской области.
"	с	к
841	842	свободный	Свободный	Амурская область	48517	"Свобо́дный (до 1917 — Алексе́евск) — город в Амурской области России, административный центр Свободненского района (не входит в состав района), административно-территориальная единица и муниципальное образование городской округ город Свободный[2].
"	с	н
842	843	себеж	Себеж	Псковская область	6246	"Се́беж — город на юго-западе Псковской области России (с 1772 года[2]). Административный центр городского поселения Себеж, Себежского сельского поселения и Себежского района.
"	с	ж
843	844	севастополь	Севастополь	Севастополь	547820	"Севасто́поль (укр. Севастополь, с 1783 по 1784 и с 1797 по 1826[11] годы — Ахтиар крымскотат. Aqyar) — город на юго-западе Крымского полуострова, на побережье Чёрного моря[12]. Незамерзающий морской торговый и рыбный порт, промышленный, научно-технический, рекреационный и культурно-исторический центр. Носит звание «Город-Герой»[f]. В Севастополе расположена главная военно-морская база Черноморского флота Российской Федерации. До 2014 года в городе также располагалась главная военно-морская база Военно-морских сил Украины. Город Севастополь входит в перечень исторических поселений федерального значения России[13] и в список исторических населённых мест Украины[14].
"	с	л
844	845	северо-курильск	Северо-Курильск	Сахалинская область	2374	"Се́веро-Кури́льск — город в России, административный центр Северо-Курильского городского округа Сахалинской области. Основан японцами в 1898 году под названием Касивабара на месте айнской деревни. Население на 2021 год — 2374[2] человек.
"	с	к
845	846	северобайкальск	Северобайкальск	Бурятия	24233	"Северобайка́льск (бур. Хойто Байгалай хото) — город в Республике Бурятия России.
"	с	к
846	847	северодвинск	Северодвинск	Архангельская область	157213	"Северодви́нск (до 15 сентября 1957 года — Молотовск) — город в Архангельской области России, административный центр муниципального образования «Северодвинск». Основан в 1936 году как рабочий посёлок Судострой, рядом с Николо-Корельским монастырём, получил статус города в 1938 году.
"	с	к
847	848	североморск	Североморск	Мурманская область	43327	"Северомо́рск — город в Мурманской области России, центр одноимённого городского округа-ЗАТО.
"	с	к
848	849	североуральск	Североуральск	Свердловская область	24428	"Североура́льск — город областного значения в Свердловской области России, административный центр Североуральского городского округа.
"	с	к
849	850	северск	Северск	Томская область	106648	"Се́верск — город (c 1954) в Томской области. Административный центр закрытого административно-территориального образования Северск.
"	с	к
850	851	севск	Севск	Брянская область	6732	"Севск — город в России, административный центр Севского района Брянской области с населением 6732[1] чел. (2021). Расположен в 121 км к югу от Брянска и в 30 км от границы России и Украины.
"	с	к
851	852	сегежа	Сегежа	Карелия	23543	"Сеге́жа (карел. Segeža, вепс. Segež) — город в Республике Карелия Российской Федерации. Административный центр Сегежского района, образует Сегежское городское поселение.
"	с	а
852	853	сельцо	Сельцо	Брянская область	15906	"Сельцо́ — город областного подчинения (с 1990 года) в Брянской области России. Образует городской округ город Сельцо.
"	с	о
853	854	семёнов	Семёнов	Нижегородская область	25075	"Семёнов — город (с 1779[2]) областного значения в Нижегородской области России, административный центр городского округа Семёновский[3][4]. Население — 25 075[1] чел. (2021).
"	с	в
854	855	семикаракорск	Семикаракорск	Ростовская область	21719	"Семикарако́рск — город (с 1972) в России, в Ростовской области.
"	с	к
855	856	семилуки	Семилуки	Воронежская область	27938	"Семилу́ки — город (с 18 ноября 1954 года[3]) в России, административный центр Семилукского района Воронежской области.  Образует муниципальное образование городское поселение город Семилуки как единственный населённый пункт в его составе[4][5].
"	с	и
856	857	сенгилей	Сенгилей	Ульяновская область	6407	"Сенгиле́й — город в Ульяновской области России, административный центр Сенгилеевского района и Сенгилеевского городского поселения.
"	с	е
857	858	серафимович	Серафимович	Волгоградская область	8633	"Серафимо́вич — город (с 1933) в России, административный центр Серафимовичского района Волгоградской области. В рамках организации местного самоуправления образует муниципальное образование городское поселение г. Серафимович как единственный населённый пункт в его составе[3][4].
"	с	ч
858	859	сергач	Сергач	Нижегородская область	20256	"Серга́ч — старинный город Нижегородской области, самое первое упоминание о котором в древних русских летописях относится к 1382 году[2]. В ряде дореволюционных источников упоминается как Сергачевск или Сергачёвск[3]. Административный центр Сергачского муниципального района Нижегородской области[4][5]. Население — 20 256[1] чел. (2021). Город с 1779 года.
"	с	ч
859	860	сергиев посад	Сергиев Посад	Московская область	101756	"Се́ргиев Поса́д (в 1930—1991 гг. — Загорск) — город в Московской области России. Административный центр[4] Сергиево-Посадского городского округа Московской области.
"	с	д
860	861	сердобск	Сердобск	Пензенская область	30220	"русские – 96,2%
мордва – 0.5%
"	с	к
861	862	серов	Серов	Свердловская область	94211	"Серо́в (до 9 марта 1934 и с 22 июля 1937 до 7 июля 1939 — Наде́ждинск, с 9 марта 1934 до 7 июля 1937 — Кабако́вск) — город областного подчинения на севере Свердловской области России, административный центр Серовского городского округа и Серовского района. В состав последнего город не входит. Серов является крупным промышленным и культурным центром Свердловской области и важным транспортным узлом, где пересекается автомобильный, железнодорожный, трубопроводный и воздушный транспорт.
"	с	в
862	863	серпухов	Серпухов	Московская область	133793	"Се́рпухов — город в России, административный центр городского округа Серпухов в составе Московской области[3]. Население — 133 793[2] человек (2021). Серпухов является центром Серпуховской городской агломерации с населением свыше 280 тысяч жителей.
"	с	в
863	864	сертолово	Сертолово	Ленинградская область	68241	"Се́ртолово (фин. Sierattala) — город (с 1998) во Всеволожском районе Ленинградской области. Центр Сертоловского городского поселения.
"	с	о
864	865	сибай	Сибай	Башкортостан	56514	"Сиба́й (башк. Сибай  слушать) — город в Республике Башкортостан Российской Федерации. Город республиканского значения. Образует муниципальное образование город Сибай со статусом городского округа.
"	с	а
865	866	сим	Сим	Челябинская область	12858	"Сим — город (с 13 ноября 1942 года) в Ашинском районе Челябинской области России. Административный центр Симского городского поселения. Население составляет 12 858[1] чел. (2021).
"	с	м
866	867	симферополь	Симферополь	Крым	340540	"Симферо́поль (укр. Сімферополь, крымскотат. Акъмесджит, Aqmescit) — город в центре Крымского полуострова, расположенный на реке Салгир. Крупный город полуострова, политический, экономический и культурный центр (Автономной[3]) Республики Крым[4].
"	с	л
867	868	сковородино	Сковородино	Амурская область	7057	"Сковородино́ — город (с 1927 года) в России, административный центр Сковородинского района Амурской области, а также Сковородинского городского поселения.
"	с	о
868	869	скопин	Скопин	Рязанская область	25238	"Скопи́н — город областного значения в Рязанской области России. Административный центр Скопинского района[1][2]. Образует городской округ город Скопин[3].
"	с	н
869	870	славгород	Славгород	Алтайский край	27900	"Сла́вгород — муниципальный район в Алтайском крае России. Входит в муниципальный округ Славгород.
"	с	д
870	871	славск	Славск	Калининградская область	4153	"Славск (до 1946 — Хайнрихсвальде, нем. Heinrichswalde) — город в Калининградской области России, административный центр Славского района (муниципального округа).
"	с	к
871	872	славянск-на-кубани	Славянск-на-Кубани	Краснодарский край	62985	"Славя́нск-на-Кубани — город на юге России, в Краснодарском крае. Административный центр муниципального образования Славянский район, включающего в свой состав 14 сельских и 1 городское поселение. Образует муниципальное образование Славянское городское поселение как единственный населённый пункт в его составе[3]. Город краевого подчинения[4].
"	с	и
872	873	сланцы	Сланцы	Ленинградская область	34628	"Сла́нцы — город (с 1949 года) в России, административный центр Сланцевского городского поселения и Сланцевского района Ленинградской области. Является самым западным городом области.
"	с	ц
873	874	слободской	Слободской	Кировская область	29148	"Слободско́й — город в России, административный центр Слободского района и городского округа город Слободской Кировской области. Входит в агломерацию Кирова.
"	с	о
874	875	слюдянка	Слюдянка	Иркутская область	18058	"Слюдя́нка — город в Иркутской области Российской Федерации, административный центр Слюдянского района. Расположен на западной оконечности озера Байкал, в 110 км от Иркутска. Население — 18 058[1] чел. (2021).
"	с	а
875	876	смоленск	Смоленск	Смоленская область	316570	"Смоле́нск — город на западе России, административный, промышленный и культурный центр Смоленской области. Один из древнейших городов России (первое упоминание в летописи относится к 863 году). Носит почётное звание «Город-герой» (с 6 мая 1985 года). Награждён орденом Ленина и орденом Отечественной войны I степени, медалью «Золотая Звезда».
"	с	к
876	877	снежинск	Снежинск	Челябинская область	50619	"Сне́жинск — город в Челябинской области, закрытое административно-территориальное образование, административный центр Снежинского городского округа. Ранее был под грифом секретности и назывался Челябинск-70.
"	с	к
877	878	снежногорск	Снежногорск	Мурманская область	9942	"Снежного́рск — город в Мурманской области России. До 28 мая 2008 года центр ЗАТО город Снежногорск, ныне входит в территориальный округ Снежногорск городского округа ЗАТО Александровск.
"	с	к
878	879	собинка	Собинка	Владимирская область	17444	"Со́бинка — город (с 1939[2]) в России, административный центр Собинского района Владимирской области. 
"	с	а
879	880	советск	Советск	Калининградская область	38910	"Сове́тск (до 1946 года — Тильзи́т, нем. Tilsit, лит. Tilžė) — город в Калининградской области России.
"	с	к
880	881	советск	Советск	Кировская область	14626	"Сове́тск (название до 1918 — Кука́рка) — город (в 1918—1925 гг. и с 1939 г.) в Кировской области
Российской Федерации. Административный центр Советского района, образует Советское городское поселение. Население — 15 118[1] чел. (2021).
"	с	к
881	882	советск	Советск	Тульская область	7889	"Сове́тск — город (с 1954[2]) в Щёкинском районе Тульской области России.
Образует одноимённое муниципальное образование город Советск со статусом городского поселения как единственный населённый пункт в его составе[3].
"	с	к
882	883	советская гавань	Советская Гавань	Хабаровский край	24231	"Сове́тская Га́вань — город в Хабаровском крае России, административный центр Советско-Гаванского района. Образует городское поселение город Советская Гавань как единственный населённый пункт в его составе[3][4].
"	с	н
883	884	советский	Советский	Ханты-Мансийский АО — Югра	31138	"сибирские татары, русские
"	с	и
884	885	сокол	Сокол	Вологодская область	34742	"Со́кол — город в Вологодской области России. Административный центр Сокольского района, образует городское поселение город Сокол.
"	с	л
885	886	солигалич	Солигалич	Костромская область	5534	"Солига́лич (др.-рус. Соль Галичьская) — город (с 1389[2]) в Костромской области, административный центр Солигаличского района. Образует одноимённое муниципальное образование город Солигалич со статусом городского поселения как единственный населённый пункт в его составе[3].
"	с	ч
886	887	соликамск	Соликамск	Пермский край	89473	"Солика́мск — город в Пермском крае. Входит в состав Соликамского городского округа, являясь его административным центром. Население — ↘89 473[2] чел. (2021).
"	с	к
887	888	солнечногорск	Солнечногорск	Московская область	48413	"Солнечного́рск — город в России, административный центр городского округа Солнечногорск в Московской области. 
Расположен к северо-западу от Москвы (44 км от МКАД) на Клинско-Дмитровской гряде, на берегу озера Сенежского. Площадь города — 21 км². Средняя температура июля составляет 19,1 °С, средняя температура января — −9,1 °С[2]. Население — 48 413[1] чел. (2021). Населённый пункт воинской доблести.
"	с	к
888	889	соль-илецк	Соль-Илецк	Оренбургская область	26149	"Хронология градостроительства:[1]

"	с	к
889	890	сольвычегодск	Сольвычегодск	Архангельская область	1952	"Сольвычего́дск — город в России, в Котласском районе Архангельской области. Административный центр Сольвычегодского городского поселения[2]. Курорт (лечение грязями). Входит в перечень исторических поселений России[3].
"	с	к
